run_id,scraped_at,platform,country,city,address_id,full_address,zone_type,chain_name,store_name,store_available,product_name,product_canonical,product_price,delivery_fee,service_fee,discount_visible,discount_amount,discount_label,eta_min,eta_max,subtotal,final_total,currency,screenshot_path,status,error_message,page_label
20260323_223639_demo,2026-03-23T19:53:39.119276,rappi,MX,Ciudad de México,CDMX_01,"Presidente Masaryk 290, Polanco, Miguel Hidalgo, CDMX",premium,mcdonalds,McDonald's (via Rappi),True,Big Mac,Big Mac,109.14,31.48,10.14,True,,20% descuento,16,26,109.14,150.76,MXN,data/screenshots/rappi_CDMX_01_store_page.png,success,,store_page
20260323_223639_demo,2026-03-23T19:53:39.119276,rappi,MX,Ciudad de México,CDMX_01,"Presidente Masaryk 290, Polanco, Miguel Hidalgo, CDMX",premium,mcdonalds,McDonald's (via Rappi),True,McTrio Big Mac Mediano,McTrio Big Mac Mediano,212.53,31.48,16.01,True,,20% descuento,16,26,212.53,260.02,MXN,data/screenshots/rappi_CDMX_01_store_page.png,success,,store_page
20260323_223639_demo,2026-03-23T19:53:39.119276,rappi,MX,Ciudad de México,CDMX_01,"Presidente Masaryk 290, Polanco, Miguel Hidalgo, CDMX",premium,mcdonalds,McDonald's (via Rappi),True,McNuggets 10 piezas,McNuggets 10 piezas,154.11,31.48,17.2,True,,20% descuento,16,26,154.11,202.79,MXN,data/screenshots/rappi_CDMX_01_store_page.png,success,,store_page
20260323_223639_demo,2026-03-23T19:53:39.119276,rappi,MX,Ciudad de México,CDMX_01,"Presidente Masaryk 290, Polanco, Miguel Hidalgo, CDMX",premium,mcdonalds,McDonald's (via Rappi),True,Papas a la Francesa Medianas,Papas a la Francesa Medianas,65.79,31.48,4.65,True,,20% descuento,16,26,65.79,101.92,MXN,data/screenshots/rappi_CDMX_01_store_page.png,success,,store_page
20260323_223639_demo,2026-03-23T22:10:39.119276,uber,MX,Ciudad de México,CDMX_01,"Presidente Masaryk 290, Polanco, Miguel Hidalgo, CDMX",premium,mcdonalds,McDonald's,True,Big Mac,Big Mac,100.71,21.17,14.17,True,,15% off tu pedido,25,35,100.71,136.05,MXN,data/screenshots/uber_CDMX_01_store_page.png,success,,store_page
20260323_223639_demo,2026-03-23T22:10:39.119276,uber,MX,Ciudad de México,CDMX_01,"Presidente Masaryk 290, Polanco, Miguel Hidalgo, CDMX",premium,mcdonalds,McDonald's,True,McTrio Big Mac Mediano,McTrio Big Mac Mediano,190.61,21.17,21.3,True,,15% off tu pedido,25,35,190.61,233.08,MXN,data/screenshots/uber_CDMX_01_store_page.png,success,,store_page
20260323_223639_demo,2026-03-23T22:10:39.119276,uber,MX,Ciudad de México,CDMX_01,"Presidente Masaryk 290, Polanco, Miguel Hidalgo, CDMX",premium,mcdonalds,McDonald's,True,McNuggets 10 piezas,McNuggets 10 piezas,130.43,21.17,18.1,True,,15% off tu pedido,25,35,130.43,169.7,MXN,data/screenshots/uber_CDMX_01_store_page.png,success,,store_page
20260323_223639_demo,2026-03-23T22:10:39.119276,uber,MX,Ciudad de México,CDMX_01,"Presidente Masaryk 290, Polanco, Miguel Hidalgo, CDMX",premium,mcdonalds,McDonald's,True,Papas a la Francesa Medianas,Papas a la Francesa Medianas,52.69,21.17,8.23,True,,15% off tu pedido,25,35,52.69,82.09,MXN,data/screenshots/uber_CDMX_01_store_page.png,success,,store_page
20260323_223639_demo,2026-03-23T21:41:39.119276,didi,MX,Ciudad de México,CDMX_01,"Presidente Masaryk 290, Polanco, Miguel Hidalgo, CDMX",premium,mcdonalds,McDonald's DiDi,True,Big Mac,Big Mac,94.39,11.37,12.21,False,,,22,39,94.39,117.97,MXN,data/screenshots/didi_CDMX_01_store_page.png,success,,store_page
20260323_223639_demo,2026-03-23T21:41:39.119276,didi,MX,Ciudad de México,CDMX_01,"Presidente Masaryk 290, Polanco, Miguel Hidalgo, CDMX",premium,mcdonalds,McDonald's DiDi,True,McTrio Big Mac Mediano,McTrio Big Mac Mediano,188.16,11.37,19.07,False,,,22,39,188.16,218.6,MXN,data/screenshots/didi_CDMX_01_store_page.png,success,,store_page
